id,nom,score_global
1,AUVERGNE RHONE ALPES,95
2,BOURGOGNE FRANCHE COMTE,89
3,BRETAGNE,97
4,CENTRE VAL DE LOIRE,93
5,CORSE,100
6,GRAND EST,90
7,HAUTS DE FRANCE,92
8,ILE DE FRANCE,98
9,LA REUNION,95
10,MARTINIQUE,102
11,NORMANDIE,90
12,NOUVELLE AQUITAINE,94
13,OCCITANIE,91
14,PAYS DE LA LOIRE,97
15,PROVENCE ALPES COTE D AZUR,97
